Jugadora,Fecha de número 1,Primera final de Grand Slam,Primer Grand Slam ganado
Kim Clijsters,11 de agosto de 2003,Roland Garros 2001 (junio de 2001),US Open 2005
Amélie Mauresmo,13 de septiembre de 2004,Australian Open 1999 (enero de 1999),Australian Open 2006
Jelena Janković,11 de agosto de 2008,US Open 2008 (septiembre de 2008),-
Dinara Sáfina,20 de abril de 2009,Roland Garros 2008 (junio de 2008),Ninguno (retirada en 2014)
Caroline Wozniacki,11 de octubre de 2010,US Open 2009 (septiembre de 2009),Australian Open 2018
Karolina Pliskova,17 de julio de 2017,US Open 2016 (septiembre de 2016),-
Simona Halep,9 de octubre de 2017,Roland Garros 2014 (junio de 2014),Roland Garros 2018
